TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float	float	float	float	float	boolean
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal	gTotalProbeSignal	gTotalProbeError	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DATA	64	1	64	0	0	A_54_P00004525	mcmv-miR-m108-2-5p.1	1938.57	225.471	-2.105799e+000	3.741314e+000	53	21	7.127130e+000	0	0	0	0	0	0	-2.1058	0	0	46.5243	21.7234	-2.98491	2.37163	-6.63754	3.35399	0
DATA	65	1	65	0	0	A_54_P3587	mmu-miR-470*	1963.97	225.774	3.418560e+001	5.067937e+000	89	22	7.023335e+000	0	0	0	0	0	0	34.1856	1	1	45.4864	22.4678	22.6265	3.3468	47.7811	4.84562	1
DATA	66	1	66	0	0	A_54_P2113	mmu-miR-712*	1989.43	225.833	-5.154927e+000	3.741314e+000	51.5	22	6.728748e+000	0	0	0	0	0	0	-5.15493	0	0	47.8731	22.3308	-1.96041	1.18581	-2.55982	2.37215	0
DATA	67	1	67	0	0	A_54_P00004477	mmu-miR-1197	2014.83	225.9	4.089998e+000	3.763603e+000	59.5	22	6.987242e+000	0	0	0	0	0	0	4.09	1	0	44.4243	22.5602	-0.875059	2.37328	-2.48928	3.35516	0
DATA	68	1	68	0	0	A_54_P2711	mmu-miR-409-3p	2040.03	225.857	7.208262e+000	3.810120e+000	62.5	22	6.763875e+000	0	0	0	0	0	0	7.20826	1	0	45.4864	22.6667	2.9875	2.39274	5.32888	3.38163	0
DATA	70	1	70	0	0	A_54_P3138	mmu-miR-504	2091.33	225.87	1.285953e+000	3.743523e+000	58	23	6.536186e+000	0	0	0	0	0	0	1.28595	0	0	46.5243	22.5676	-1.01159	1.18595	-2.39627	2.37193	0
DATA	71	1	71	0	0	A_54_P2728	mmu-miR-425	2116.48	226.348	6.798586e+001	7.760039e+000	125.5	23	6.805956e+000	0	0	0	1	0	0	67.9859	1	1	45.835	23.1887	70.3236	7.4364	87.724	8.00428	1
DATA	72	1	72	0	0	A_54_P2518	mmu-miR-325	2141.97	226	8.105965e-001	3.742192e+000	56	22	6.931277e+000	0	0	0	0	0	0	0.810596	0	0	46.8651	22.6949	-0.463679	1.18666	-1.85353	2.37375	0
DATA	73	1	73	0	0	A_54_P00004504	mcmv-miR-M55-1	2166.93	226.274	-3.752420e+000	3.741314e+000	54	22	6.844145e+000	0	0	0	0	0	0	-3.75242	0	0	47.5395	22.3129	-3.26756	2.37163	-6.78284	3.35399	0
DATA	75	1	75	0	0	A_54_P00004494	mcmv-miR-m22-1	2218.17	226.016	2.231407e+001	4.356214e+000	76	22	6.513111e+000	0	0	0	0	0	0	22.3141	1	1	45.4864	22.3487	12.3475	2.70607	16.0576	3.63297	1
DATA	76	1	76	0	0	A_54_P2589	mmu-miR-135b	2243.33	225.806	4.059726e+000	3.763275e+000	63	21	6.725203e+000	0	0	0	0	0	0	4.05973	1	0	47.5395	22.1279	1.75647	2.38068	3.72887	3.37026	0
DATA	77	1	77	0	0	A_54_P1074	mmu-miR-138	2268.7	225.8	1.202998e+000	3.743247e+000	59.5	22	6.650115e+000	0	0	0	1	0	0	1.203	0	0	43.7019	22.4423	0.487921	2.3732	0.132482	3.35513	0
